latitude,longitude,name,desc,color,source,precision
43.803218,-79.669351,"8940 Highway 50, Brampton","Highway 50, Brampton, ON, CA",,MapQuest Open,street
43.800279,-79.500005,"3300 Highway 7, Concord","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.784725,-79.59279,"131 Woodbridge Ave, Woodbridge","131 Woodbridge Avenue, Vaughan, ON, CA",,MapQuest Open,address
43.778524,-79.597566,"6140 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778524,-79.597566,"4515 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778524,-79.597566,"4000 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778291,-79.584924,"7018 Islington Ave, Woodbridge","Islington Avenue, Vaughan, York Region, ON, CA",,MapQuest Open,street
43.77722,-79.603507,"6161 Hwy 7, Vaughan","Highway 7, Vaughan, York Region, ON, CA",,MapQuest Open,street
43.773216,-79.493803,"4700 Keele St, Toronto","4700 Keele Street, Toronto, ON, CA",,MapQuest Open,address
43.772642,-79.735112,"9115 Airport Rd, Brampton","Airport Road, Brampton, ON, CA",,MapQuest Open,street
43.764438,-79.73467,"51 Mountainash Rd, Brampton","Mountainash Road, Brampton, ON, CA",,MapQuest Open,street
43.758906,-79.518276,"4000 Jane St, North York","4000 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.75809,-79.730179,"43 Mountainash Rd, Brampton","43 Mountainash Road, Brampton, ON, CA",,MapQuest Open,address
43.755531,-79.759219,"11805 Bramalea Rd, Brampton","Bramalea Road, Brampton, ON, CA",,MapQuest Open,street
43.74953,-79.739923,"7 Sunny Meadow Blvd, Brampton","7 Sunny Meadow Boulevard, Brampton, ON, CA",,MapQuest Open,address
43.748292,-79.560571,"2550 Finch Ave W, North York","2550 Finch Avenue West, Toronto, ON, CA",,MapQuest Open,address
43.743424,-79.603781,"11 Westmore Dr, Toronto","11 Westmore Drive, Toronto, ON, CA",,MapQuest Open,address
43.742475,-79.696723,"2963 Queen St E, Brampton","2963 Queen Street East, Brampton, ON, CA",,MapQuest Open,address
43.741843,-79.594074,"1104 Albion Rd, Etobicoke","Albion Road, Toronto, ON, CA",,MapQuest Open,street
43.735918,-79.578504,"2687 Kipling Ave, Toronto","Kipling Avenue, Toronto, ON, CA",,MapQuest Open,street
43.735264,-79.823526,"3068 Mayfield Rd, Brampton","3068 Mayfield Road, Brampton, ON, CA",,MapQuest Open,address
43.735199,-79.560729,"900 Albion Road, Toronto","900 Albion Road, Toronto, ON, CA",,MapQuest Open,address
43.734213,-79.603063,"6897 Finch Ave W, Toronto","Finch Avenue West, Toronto, ON, CA",,MapQuest Open,street
43.733722,-79.824508,"11965 Hurontario St, Brampton","11965 Hurontario Street, Brampton, ON, CA",,MapQuest Open,address
43.731304,-79.76132,"25 Great Lakes Dr, Brampton","25 Great Lakes Drive, Brampton, ON, CA",,MapQuest Open,address
43.728685,-79.482437,"3336 Keele St, North York","Keele Street, Toronto, ON, CA",,MapQuest Open,street
43.727921,-79.479309,"1084 Wilson Ave, Toronto","1084 Wilson Avenue, Toronto, ON, CA",,MapQuest Open,address
43.727283,-79.482356,"2766 Keele St, North York","2766 Keele Street, Toronto, ON, CA",,MapQuest Open,address
43.725891,-79.796453,"164 Sandalwood Parkway E, Brampton","164 Sandalwood Parkway East, Brampton, ON, CA",,MapQuest Open,address
43.724044,-79.669086,"2645 Steeles Ave E, Brampton","2645 Steeles Avenue East, Brampton, ON, CA",,MapQuest Open,address
43.722885,-79.601768,"600 Queens Plate Dr, Etobicoke","Queen's Plate Drive, Toronto, ON, CA",,MapQuest Open,street
43.721019,-79.480921,"4800 Keele St, Toronto","Keele Street, Toronto, ON, CA",,MapQuest Open,street
43.720256,-79.715409,"17 Kings Cross Rd, Brampton","17 Kings Cross Road, Brampton, ON, CA",,MapQuest Open,address
43.720241,-79.511008,"1597 Wilson Ave, North York","1597 Wilson Avenue, Toronto, ON, CA",,MapQuest Open,address
43.719196,-79.603723,"129 Rexdale Blvd, Etobicoke","Rexdale Boulevard, Toronto, ON, CA",,MapQuest Open,street
43.719196,-79.603723,"123 Rexdale Blvd, Etobicoke","Rexdale Boulevard, Toronto, ON, CA",,MapQuest Open,street
43.719152,-79.639065,"7205 Goreway Dr, Mississauga","7205 Goreway Drive, Mississauga, ON, CA",,MapQuest Open,address
43.717256,-79.683782,"8155 Torbram Road, Brampton","8155 Torbram Road, Brampton, ON, CA",,MapQuest Open,address
43.714868,-79.721579,"25 Peel Centre Dr, Brampton","25 Peel Centre Drive, Brampton, ON, CA",,MapQuest Open,address
43.712795,-79.747469,"456 Vodden St E, Brampton","456 Vodden Street East, Brampton, ON, CA",,MapQuest Open,address
43.709691,-79.53447,"3514 Weston Rd, North York","Weston Road, Toronto, ON, CA",,MapQuest Open,street
43.709378,-79.505771,"1890 Jane Street, Toronto","1890 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.708456,-79.784068,"9 Bovaird Dr, Brampton","Bovaird Drive, Brampton, ON, CA",,MapQuest Open,street
43.706709,-79.532973,"1906 Weston Rd, Toronto","Weston Road, Toronto, ON, CA",,MapQuest Open,street
43.705954,-79.692883,"50 Bramalea Rd, Brampton","50 Bramalea Road, Brampton, ON, CA",,MapQuest Open,address
43.704404,-79.727204,"145 Clark Blvd, Brampton","145 Clark Boulevard, Brampton, ON, CA",,MapQuest Open,address
43.704295,-79.504374,"1732 Jane St, Toronto","1732 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.703368,-79.759536,"140 Kennedy Rd N, Brampton","140 Kennedy Road North, Brampton, ON, CA",,MapQuest Open,address
43.697284,-79.545151,"261 Dixon Road, Toronto","261 Dixon Road, Toronto, ON, CA",,MapQuest Open,address
43.695671,-79.749204,"235 Queen St E, Brampton","235 Queen Street East, Brampton, ON, CA",,MapQuest Open,address
43.69345,-79.562658,"235 Dixon Rd, Etobicoke","Dixon Road, Toronto, ON, CA",,MapQuest Open,street
43.691816,-79.501039,"901 Jane St, Toronto","Jane Street, Toronto, ON, CA",,MapQuest Open,street
43.689774,-79.578299,"655 Dixon Rd, Toronto","655 Dixon Road, Toronto, ON, CA",,MapQuest Open,address
43.687888,-79.616403,"6205 Airport Rd, Mississauga","6205 Airport Road, Mississauga, ON, CA",,MapQuest Open,address
43.687384,-79.549737,"415 The Westway, Etobicoke","The Westway, Toronto, ON, CA",,MapQuest Open,street
43.685918,-79.760258,"1 Main St N, Brampton","1 Main Street North, Brampton, ON, CA",,MapQuest Open,address
43.685015,-79.524118,"140 La Rose Ave, Etobicoke","140 La Rose Avenue, Toronto, ON, CA",,MapQuest Open,address
43.682561,-79.731923,"7995 Kennedy Rd S, Brampton","Kennedy Road South, Brampton, ON, CA",,MapQuest Open,street
43.682561,-79.731923,"1 Kennedy Road South, Brampton","Kennedy Road South, Brampton, ON, CA",,MapQuest Open,street
43.682129,-79.467941,"500 Rogers Rd, Toronto","500 Rogers Road, Toronto, ON, CA",,MapQuest Open,address
43.680989,-79.682551,"7280 Dixie Road, Mississauga","7280 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.680806,-79.509302,"280 Scarlett Rd, Toronto","280 Scarlett Road, Toronto, ON, CA",,MapQuest Open,address
43.67783,-79.748829,"160 Main St S, Brampton","160 Main Street South, Brampton, ON, CA",,MapQuest Open,address
43.669751,-79.389352,"972 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2947 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2485 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2329 Bloor St W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.669751,-79.389352,"2290 Bloor Street W, Toronto","Bloor Street West, Toronto, ON, CA",,MapQuest Open,street
43.664972,-79.468592,"384 Pacific Ave, Toronto","384 Pacific Avenue, Toronto, ON, CA",,MapQuest Open,address
43.664349,-79.722653,"209 County Court Blvd, Brampton","County Court Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.661834,-79.519841,"270 The Kingsway, Etobicoke","270 The Kingsway, Toronto, ON, CA",,MapQuest Open,address
43.661525,-79.821863,"9495 Mississauga Rd, Brampton","9495 Mississauga Road, Brampton, ON, CA",,MapQuest Open,address
43.660084,-79.654343,"6240 Dixie Rd, Mississauga","6240 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.659906,-79.749595,"495 Charolais Blvd, Brampton","Charolais Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"9800 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"8978 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.658316,-79.77033,"8965 Chinguacousy Rd, Brampton","Chinguacousy Road, Brampton, ON, CA",,MapQuest Open,street
43.655622,-79.695813,"480 Derry Rd E, Mississauga","480 Derry Road East, Brampton, ON, CA",,MapQuest Open,address
43.654215,-79.422874,"833 College St, Toronto","833 College Street, Toronto, ON, CA",,MapQuest Open,address
43.652718,-79.398944,"4869 Dundas St West, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.652718,-79.398944,"3446 Dundas St W, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.652718,-79.398944,"1421 Dundas St W, Toronto","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.651608,-79.526387,"2291 Islington Ave, Toronto","Islington Avenue, Toronto, ON, CA",,MapQuest Open,street
43.649614,-79.902132,"232 Guelph St, Georgetown","232 Guelph Street, Halton Hills, ON, CA",,MapQuest Open,address
43.649496,-79.925849,"83 Main St S, Georgetown","83 Main Street South, Halton Hills, ON, CA",,MapQuest Open,address
43.645506,-79.566175,"401 The West Mall, Etobicoke","401 The West Mall, Toronto, ON, CA",,MapQuest Open,address
43.644744,-79.448252,"179 Roncesvalles Ave, Toronto","179 Roncesvalles Avenue, Toronto, ON, CA",,MapQuest Open,address
43.643202,-79.725807,"10098 Mclaughlin Rd, Brampton","McLaughlin Road, Brampton, ON, CA",,MapQuest Open,street
43.643202,-79.725807,"10010 Mclaughlin Rd, Brampton","McLaughlin Road, Brampton, ON, CA",,MapQuest Open,street
43.643009,-79.57326,"632 Burnhamthorpe Rd, Mississauga","632 Burnhamthorpe Road, Toronto, ON, CA",,MapQuest Open,address
43.642999,-79.418577,"1001 Queen St W, Toronto","1001 Queen Street West, Toronto, ON, CA",,MapQuest Open,address
43.642823,-79.723329,"7020 St Barbara Blvd, Mississauga","Saint Barbara Boulevard, Brampton, ON, CA",,MapQuest Open,street
43.642643,-79.427382,"2 Gladstone Ave, Toronto","2 Gladstone Avenue, Toronto, ON, CA",,MapQuest Open,address
43.642588,-79.575462,"2126 Burnhamthorpe Rd, Mississauga","Burnhamthorpe Road, Toronto, ON, CA",,MapQuest Open,street
43.641889,-79.746894,"7970 Mavis Rd, Brampton","Mavis Road, Brampton, ON, CA",,MapQuest Open,street
43.64135,-79.414724,"1005 King St W, Toronto","1005 King Street West, Toronto, ON, CA",,MapQuest Open,address
43.638841,-79.419563,"51 Hanna Ave, Toronto","51 Hanna Avenue, Toronto, ON, CA",,MapQuest Open,address
43.63821,-80.027147,"370 Queen St, Acton","370 Queen Street, Halton Hills, ON, CA",,MapQuest Open,address
43.638116,-79.430679,"1265 King Street W, Toronto","1265 King Street West, Toronto, ON, CA",,MapQuest Open,address
43.637975,-79.538439,"4860 Dundas St W, Etobicoke","Dundas Street West, Toronto, ON, CA",,MapQuest Open,street
43.635519,-79.562356,"290 The West Mall, Etobicoke","290 The West Mall, Toronto, ON, CA",,MapQuest Open,address
43.635459,-79.541397,"5322 Dundas St W, Etobicoke","5322 Dundas Street West, Toronto, ON, CA",,MapQuest Open,address
43.632845,-79.878212,"333 Mountainview Rd S, Georgetown","333 Mountainview Road South, Halton Hills, ON, CA",,MapQuest Open,address
43.632217,-79.545282,"5470 Dundas St W, Etobicoke","5470 Dundas Street West, Toronto, ON, CA",,MapQuest Open,address
43.630916,-79.481184,"125 The Queensway, Etobicoke","125 The Queensway, Toronto, ON, CA",,MapQuest Open,address
43.629369,-79.68424,"5033 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"4557 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"3445 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"2325 Hurontario St,, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.629369,-79.68424,"2100 Hurontario St, Mississauga","Hurontario Street, Mississauga, ON, CA",,MapQuest Open,street
43.628882,-79.490453,"515 The Queensway, Etobicoke","515 The Queensway, Toronto, ON, CA",,MapQuest Open,address
43.628178,-79.775954,"1990 Steeles Ave W, Brampton","1990 Steeles Avenue West, Brampton, ON, CA",,MapQuest Open,address
43.62693,-79.47851,"16 Brookers Lane, Toronto","16 Brookers Lane, Toronto, ON, CA",,MapQuest Open,address
43.626095,-79.679468,"5980 Hurontario St, Mississauga","5980 Hurontario Street, Mississauga, ON, CA",,MapQuest Open,address
43.626076,-79.607004,"4141 Dixie Rd, Mississauga","4141 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.623221,-79.602714,"4011 Dixie Rd, Mississauga","4011 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.621133,-79.695941,"7070 Mclaughlin Rd, Mississauga","McLaughlin Road, Mississauga, ON, CA",,MapQuest Open,street
